name	key	ref_name	ref_key	index	value	translation
###HEADER	version-etc	###HEADER	version-etc	0	<<00000003FEFE>>			
###HEADER	class	###HEADER	class	1	ColossalFramework.Globalization.Locale, ColossalManaged, Version=0.3.0.0, Culture=neutral, PublicKeyToken=null			
###HEADER	native-name	###HEADER	native-name	2	ENGLISH			
###HEADER	english-name	###HEADER	english-name	3	(ENGLISH)			
###HEADER	app-id	###HEADER	app-id	4	<<00000000>>			
###HEADER	index-count	###HEADER	index-count	5	[[0x281]]			
CHIRP_ROCKET_PRODUCTION		CHIRP_ROCKET_PRODUCTION		0	[[0x4]]			
CHIRP_LAUNCH_PREPARATION		CHIRP_LAUNCH_PREPARATION		0	[[0x5]]			
CHIRP_LAUNCH		CHIRP_LAUNCH		0	[[0x5]]			
BUILDING_NAME	3x4_Nightclub a	BUILDING_NAME	3x4_Nightclub a	0	[[0x2]]			
3	3x4_Nightclub b	BUILDING_NAME	3x4_Nightclub b	0	[[0x2]]			
3	2x2_Restaurant	BUILDING_NAME	2x2_Restaurant	0	[[0x4]]			
3	2x2_Restaurant2	BUILDING_NAME	2x2_Restaurant2	0	[[0x4]]			
3	2x2_Karaoke Bar	BUILDING_NAME	2x2_Karaoke Bar	0	[[0x3]]			
3	3x2_Bowling Alley	BUILDING_NAME	3x2_Bowling Alley	0	[[0x3]]			
3	3x4 Game Arcade	BUILDING_NAME	3x4 Game Arcade	0	[[0x3]]			
3	2x3 Game Arcade	BUILDING_NAME	2x3 Game Arcade	0	[[0x3]]			
3	2x2_Comedy Club	BUILDING_NAME	2x2_Comedy Club	0	[[0x3]]			
3	2x2_Pub	BUILDING_NAME	2x2_Pub	0	[[0x3]]			
3	1x1_cafe	BUILDING_NAME	1x1_cafe	0	[[0x3]]			
3	3x2_Gym	BUILDING_NAME	3x2_Gym	0	[[0x3]]			
3	1x1_Beauty Salon	BUILDING_NAME	1x1_Beauty Salon	0	[[0x3]]			
3	1x1_Restaurant01	BUILDING_NAME	1x1_Restaurant01	0	[[0x4]]			
3	3x2_Nightclub01	BUILDING_NAME	3x2_Nightclub01	0	[[0x4]]			
3	2x3_Night_club_a	BUILDING_NAME	2x3_Night_club_a	0	[[0x4]]			
3	2x2_Gym	BUILDING_NAME	2x2_Gym	0	[[0x3]]			
3	3x2_Cafe01	BUILDING_NAME	3x2_Cafe01	0	[[0x3]]			
3	1x1_Restaurant02	BUILDING_NAME	1x1_Restaurant02	0	[[0x4]]			
3	2x3_Nightclub01	BUILDING_NAME	2x3_Nightclub01	0	[[0x4]]			
3	2x2_Beauty Salon	BUILDING_NAME	2x2_Beauty Salon	0	[[0x3]]			
3	4x4_Tourist Hotel	BUILDING_NAME	4x4_Tourist Hotel	0	[[0x4]]			
3	4x4_Tourist Hotel2	BUILDING_NAME	4x4_Tourist Hotel2	0	[[0x4]]			
3	4x4_Tourist Hotel3	BUILDING_NAME	4x4_Tourist Hotel3	0	[[0x4]]			
3	2x1_Beach Bar2	BUILDING_NAME	2x1_Beach Bar2	0	[[0x6]]			
3	1x1_Souvenir Shop	BUILDING_NAME	1x1_Souvenir Shop	0	[[0x3]]			
3	4x3_Beach Hotel	BUILDING_NAME	4x3_Beach Hotel	0	[[0x3]]			
3	4x3_Beach Hotel2	BUILDING_NAME	4x3_Beach Hotel2	0	[[0x3]]			
3	4x3_Beach Hotel3	BUILDING_NAME	4x3_Beach Hotel3	0	[[0x3]]			
3	2x2_Beach restaurant	BUILDING_NAME	2x2_Beach restaurant	0	[[0x3]]			
3	2x2_Beach Restaurant2	BUILDING_NAME	2x2_Beach Restaurant2	0	[[0x3]]			
3	2x2_PrivatePool	BUILDING_NAME	2x2_PrivatePool	0	[[0x3]]			
3	2x2_Hotel01	BUILDING_NAME	2x2_Hotel01	0	[[0x4]]			
3	3x2_Hotel01	BUILDING_NAME	3x2_Hotel01	0	[[0x4]]			
3	1x1_Hotel01	BUILDING_NAME	1x1_Hotel01	0	[[0x4]]			
3	1x1_beach_restaurant2	BUILDING_NAME	1x1_beach_restaurant2	0	[[0x3]]			
3	3x2_Hotel02	BUILDING_NAME	3x2_Hotel02	0	[[0x4]]			
3	1x1_terrace01	BUILDING_NAME	1x1_terrace01	0	[[0x6]]			
3	1x1_terrace02	BUILDING_NAME	1x1_terrace02	0	[[0x6]]			
3	2x2_terrace01	BUILDING_NAME	2x2_terrace01	0	[[0x6]]			
3	2x2_terrace02	BUILDING_NAME	2x2_terrace02	0	[[0x6]]			
3	2x2_Souvenir Shop	BUILDING_NAME	2x2_Souvenir Shop	0	[[0x3]]			
3	2x2_Beach Bar2	BUILDING_NAME	2x2_Beach Bar2	0	[[0x6]]			
