id	index	key	value	value（翻訳）	備考: 翻訳に改行が含まれているとロケール作成時にエラーになります。改行を入れないよう注意して下さい。（注：ゲーム内の改行は\nと書く）
DECORATIONEDITOR_TOOL	Roads	0	Road Tool	道路ツール	
DECORATIONEDITOR_TOOL	Props	0	Propping Tool	部品ツール	
DECORATIONEDITOR_TOOL	Surface	0	Surface Tool	表面ツール	
DECORATIONEDITOR_TOOL	Beautification	0	Decoration	装飾	1.4.0-f3 にて変更前「Decoration Tool」→「装飾ツール」
DECORATIONEDITOR_TOOL	AssetEditorSettings	0	Asset Editor Settings	アセットエディタ設定	
DECORATIONEDITOR_TOOL	PropsBillboards	0	Billboards	看板	
DECORATIONEDITOR_TOOL	PropsSpecialBillboards	0	Special Billboards	特殊な看板	
DECORATIONEDITOR_TOOL	PropsIndustrial	0	Industrial	工場	
DECORATIONEDITOR_TOOL	PropsParks	0	Parks	公園	
DECORATIONEDITOR_TOOL	PropsCommon	0	Common	共通	
DECORATIONEDITOR_TOOL	PropsResidential	0	Residential	住居	
DECORATIONEDITOR_TOOL	PropsMarkers	0	Markers	マーカー	
DECORATION_SELECTOR_TITLE		0	Decoration Editor	装飾エディタ	
DECORATION_SELECTOR_USEEXISTINGDECORATION		0	Load existing props & decorations	既存の部品・装飾をロード	
DECORATIONEDITOR_LIGHTROTATION		0	Light Rotation	光の向き	
SURFACE_TITLE	Gravel	0	Gravel	砂利	
SURFACE_TITLE	Ruined	0	Ruined	荒れ地	
SURFACE_TITLE	PavementB	0	Pavement	舗装道路	
SURFACE_TITLE	Clip	0	Clip	切り抜き	
SURFACE_TITLE	Field	0	Field	畑	
SURFACE_DESC	Gravel	0	Decorate terrain cells with gravel.\nUse the secondary mouse button to restore the default terrain.\n	セルに砂利の装飾を加えます。\nマウスの副ボタンを使えばデフォルトの地形に戻ります。\n	
SURFACE_DESC	Ruined	0	Decorate terrain cells with ruined terrain.\nUse the secondary mouse button to restore the default terrain.\n	セルに荒れ地の装飾を加えます。\nマウスの副ボタンを使えばデフォルトの地形に戻ります。\n	
SURFACE_DESC	PavementB	0	Decorate terrain cells with pavement.\nRight click to restore the default terrain.\n	セルに舗装路の装飾を加えます。\n右クリックでデフォルトの地形に戻ります。\n	
SURFACE_DESC	Clip	0	Create holes in the terrain.\nRight click to restore the default terrain.\n	地形に穴を作ります。\n右クリックでデフォルトの地形に戻ります。\n	
SURFACE_DESC	Field	0	Decorate terrain cells with field.\nRight click to restore the default terrain.\n	セルに畑の装飾を加えます。\n右クリックでデフォルトの地形に戻ります。\n	
CHIRPHEADER_TREESNPROPS		0	{0:N0} / {1:N0} trees/props used	{0:N0} / {1:N0} 樹木/プロップを使用中	
CONFIRM_RETURNDECORATIONEDITOR	Title	0	BACK TO MAIN MENU	メインメニューに戻る	
CONFIRM_RETURNDECORATIONEDITOR	Message	0	Unsaved changes will be lost.\nDo you wish to proceed?\n	保存していない変更結果は消滅します。\nよろしいですか？\n	
CONFIRM_EXITDECORATIONEDITOR	Title	0	EXIT GAME	ゲームを終了	
CONFIRM_EXITDECORATIONEDITOR	Message	0	Unsaved changes will be lost.\nDo you wish to proceed?\n	保存していない変更結果は消滅します。\nよろしいですか？\n	
ASSETIMPORTER_TITLE		0	Asset Importer	アセットインポーター	
ASSETIMPORTER_SHADED		0	Shaded	シェーディング	
ASSETIMPORTER_LIGHTINGONLY		0	Lighting Only	ライティングのみ	
ASSETIMPORTER_GRID		0	Show/Hide Grid	グリッド表示/非表示	
ASSETIMPORTER_MAXIMIZE		0	Maximize	最大化	
ASSETIMPORTER_MINIMIZE		0	Minimize	最小化	
ASSETIMPORTER_ROTATION		0	Rotation:	回転:	
ASSETIMPORTER_SCALE		0	Scale	スケール	
