	ref_name	index	key	value	value(翻訳）	備考: 翻訳に改行が含まれているとロケール作成時にエラーになります。改行を入れないよう注意して下さい。（注：ゲーム内の改行は\nと書く）
1	BUILDING_TITLE	Panda Sanctuary	0	Panda Sanctuary	パンダ保護区	
2	BUILDING_TITLE	Temple	0	Temple Complex	巨大寺院	
3	BUILDING_TITLE	Oriental Pearl Tower	0	Oriental Pearl Tower	東方明珠電視塔	
4	BUILDING_TITLE	ChirpX Launch Control Center	0	ChirpX Launch Site	ChirpX 発射場	1.9.2-f1 にて追加
5	BUILDING_TITLE	Prison	0	Prison	刑務所	
6	BUILDING_TITLE	Casino	0	Casino	カジノ	
7	BUILDING_TITLE	LuxuryHotel	0	Luxury Hotel	高級ホテル	
8	BUILDING_TITLE	Fancy Fountain	0	Fantastic Fountain	すてきな噴水	
9	BUILDING_TITLE	DrivingRange	0	Driving Range	ゴルフ練習場	
10	BUILDING_TITLE	Zoo	0	Zoo	動物園	
11	BUILDING_TITLE	Bus Station	0	Bus Station	バスステーション	
12	BUILDING_TITLE	Skatepark	0	Skatepark	スケートパーク	
13	BUILDING_TITLE	9x15_RidingStable	0	Riding Stable	乗馬クラブ	
14	BUILDING_TITLE	Beachvolley Court	0	Beach Volleyball Court	ビーチバレー用コート	
15	BUILDING_TITLE	2x8_FishingPier	0	Fishing Pier	釣り桟橋	
16	BUILDING_TITLE	Large Airport	0	International Airport	国際空港	
17	BUILDING_TITLE	Cargo Hub	0	Cargo Hub	貨物ハブ	
18	BUILDING_TITLE	Taxi Depot	0	Taxi Depot	タクシー車庫	
19	BUILDING_TITLE	Taxi Stand	0	Taxi Stand	タクシー乗り場	
20	BUILDING_TITLE	MagickaPark	0	Magicka Theme Park	Magickaランド	
21	BUILDING_TITLE	2x2_Jet_ski_rental	0	Jet Ski Rental	ジェットスキーレンタル	
22	BUILDING_TITLE	3x2_Fishing tours	0	Fishing Tours	フィッシングツアー	
23	BUILDING_TITLE	4x4_Marina	0	Marina	マリーナ	
24	BUILDING_TITLE	2x4_RestaurantPier	0	Restaurant Pier	水上レストラン	
25	BUILDING_TITLE	Tram Depot	0	Tram Depot	路面電車車庫	
26	BUILDING_TITLE	tram_stop	0	Tram Stop	路面電車停留所	
27	BUILDING_TITLE	Sauna	0	Sauna	サウナ	
28	BUILDING_TITLE	Ski Lodge	0	Ski Lodge	スキーロッジ	
